node,x_pos,T_hot,T_cold,x_cold,x_hot,regime_cold,regime_hot,P_cold,P_hot,H_cold,H_hot,U,h_hot,h_cold,q_cell,q_flux
77,3.08,590.3171060406814,590.2827039423366,1.0,0.0,superheated,subcooled,5997518.656293572,14943639.980899563,2944429.9852575883,1436812.9880853281,626.8856874050737,31051.7576334764,660.9460181069409,0.5977168590220416,23.794460948329682
78,3.12,590.3168348216012,590.2856372231983,1.0,0.0,superheated,subcooled,5997481.971671732,14942909.79060509,2944440.819980694,1436812.6269278913,626.8783238962934,31051.822074450603,660.9378035137822,0.5417361552924448,21.565929748903056
79,3.16,590.316569159773,590.2882605034981,1.0,0.0,superheated,subcooled,5997445.286348275,14942179.599400323,2944450.645360893,1436812.299415218,626.8715651277021,31051.88695962662,660.9302609692187,0.4912690099580528,19.55688733909446
80,3.2,590.3163085072698,590.2906043055775,1.0,0.0,superheated,subcooled,5997408.600368292,14941449.407274956,2944459.5608084938,1436812.0022336312,626.8653514714083,31051.95224555706,660.9233242072662,0.44577238002854447,17.745715765467533
81,3.24,590.316052370129,590.292696147258,1.0,0.0,superheated,subcooled,5997371.913772435,14940719.2142197,2944467.6559426878,1436811.7323958247,626.8596291844848,31052.01789307273,660.9169335022889,0.40475670969379773,16.112926341313603
82,3.2800000000000002,590.3158003030422,590.294560837459,1.0,0.0,superheated,subcooled,5997335.22659735,14939989.02022618,2944475.0115559185,1436811.487208717,626.8543498270996,31052.083866860823,660.9110350222865,0.36778066154417355,14.640949902236208
83,3.3200000000000003,590.3155519045637,590.296220742758,1.0,0.0,superheated,subcooled,5997298.538876075,14939258.825286841,2944481.700483262,1436811.2642444721,626.849469738382,31052.150135085918,660.9055802463591,0.3344463671878267,13.313947738368897
84,3.36,590.3153068127849,590.297696027739,1.0,0.0,superheated,subcooled,5997261.850638394,14938528.629394872,2944487.7883861745,1436811.0613143751,626.8449495642427,31052.21666904708,660.9005254399211,0.3043951456149373,12.117641147091453
85,3.4,590.3150647014512,590.299004871706,1.0,0.0,superheated,subcooled,5997225.161911157,14937798.432544129,2944493.33445904,1436810.8764452797,626.8407538319866,31052.283442869266,660.8958311819267,0.27730364327675094,11.039157773756008
86,3.44,590.3148252764345,590.3001636640831,1.0,0.0,superheated,subcooled,5997188.47271857,14937068.234729072,2944498.3920661323,1436810.7078583767,626.8368505670395,31052.350433225427,660.8914619389046,0.2528803546255877,10.066893098152377
87,3.48,590.3145882725845,590.3011871805912,1.0,0.0,superheated,subcooled,5997151.783082455,14936338.035944704,2944503.0093158316,1436810.5539500534,626.8332109476132,31052.41761908469,660.8873856811601,0.2308624849623408,9.190385547863885
88,3.52,590.3143534508606,590.3020887420936,1.0,0.0,superheated,subcooled,5997115.093022485,14935607.836186519,2944507.2295782883,1436810.4132746381,626.8298089935264,31052.48498148755,660.8835735369412,0.21101312283334042,8.400203934448266
89,3.56,590.314120595774,590.3028803578125,1.0,0.0,superheated,subcooled,5997078.402556394,14934877.635450453,2944511.091952097,1436810.2845288445,626.8266212858033,31052.552503340692,660.8799994808112,0.19311869045203994,7.687845957485666
90,3.6,590.3138895130534,590.3035728544567,1.0,0.0,superheated,subcooled,5997041.711700169,14934147.43373284,2944514.6316850116,1436810.1665377475,626.8236267139822,31052.620169234375,660.8766400528193,0.17698664571238631,7.045646724219201
91,3.64,590.3136600275701,590.3041759926343,1.0,0.0,superheated,subcooled,5997005.020468224,14933417.231030371,2944517.8805532125,1436810.0582421408,626.8208062483875,31052.687965275756,660.8734741054163,0.1624434100355623,6.46669625937748
92,3.68,590.3134319814365,590.3046985718165,1.0,0.0,superheated,subcooled,5996968.328873551,14932687.027340064,2944520.867203231,1436809.9586871401,626.8181427349119,31052.75587894034,660.8704825753875,0.14933250092167089,5.944765164079255
93,3.72,590.3132052323232,590.3051485249678,1.0,0.0,superheated,subcooled,5996931.6369278645,14931956.822659228,2944523.617460187,1436809.8670119082,626.8156207100469,31052.823898935963,660.8676482782904,0.13751284780449635,5.474237571835046
